
2018-01-09 10:15:01 [ 高:1 ] - [ INFO ] 22个无花果
2018-01-09 10:15:01 [ 高:0 ] - [ INFO ] 21个无花果
2018-01-09 10:15:01 [ 高:1 ] - [ INFO ] 24个无花果
2018-01-09 10:15:01 [ 高:1 ] - [ INFO ] 25个无花果
2018-01-09 10:15:01 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 10:15:01 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 10:15:01 [ 高:2 ] - [ INFO ] 29个无花果
2018-01-09 10:15:01 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:01 [ 高:2 ] - [ INFO ] 28个无花果
2018-01-09 10:15:01 [ 高:2 ] - [ INFO ] 27个无花果
2018-01-09 10:15:01 [ 高:2 ] - [ INFO ] 26个无花果
2018-01-09 10:15:01 [ Thread-16:2 ] - [ INFO ] 16个无花果
2018-01-09 10:15:01 [ Thread-15:2 ] - [ INFO ] 15个无花果
2018-01-09 10:15:01 [ Thread-18:2 ] - [ INFO ] 18个无花果
2018-01-09 10:15:01 [ Thread-13:2 ] - [ INFO ] 13个无花果
2018-01-09 10:15:01 [ Thread-19:3 ] - [ INFO ] 19个无花果
2018-01-09 10:15:01 [ Thread-20:3 ] - [ INFO ] 20个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 9个无花果
2018-01-09 10:15:01 [ Thread-17:2 ] - [ INFO ] 17个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 6个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 8个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 0个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 5个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 4个无花果
2018-01-09 10:15:01 [ 低:3 ] - [ INFO ] 7个无花果
2018-01-09 10:15:01 [ 低:4 ] - [ INFO ] 3个无花果
2018-01-09 10:15:01 [ 低:4 ] - [ INFO ] 1个无花果
2018-01-09 10:15:01 [ 低:4 ] - [ INFO ] 2个无花果
2018-01-09 10:15:20 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:15:20 [ 高:0 ] - [ INFO ] 22个无花果
2018-01-09 10:15:20 [ 高:0 ] - [ INFO ] 21个无花果
2018-01-09 10:15:20 [ 高:0 ] - [ INFO ] 25个无花果
2018-01-09 10:15:20 [ 高:1 ] - [ INFO ] 26个无花果
2018-01-09 10:15:20 [ Thread-0:0 ] - [ INFO ] 0个无花果
2018-01-09 10:15:20 [ Thread-4:1 ] - [ INFO ] 4个无花果
2018-01-09 10:15:20 [ Thread-5:1 ] - [ INFO ] 5个无花果
2018-01-09 10:15:20 [ Thread-8:1 ] - [ INFO ] 8个无花果
2018-01-09 10:15:20 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 10:15:20 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:20 [ Thread-15:2 ] - [ INFO ] 15个无花果
2018-01-09 10:15:20 [ Thread-3:0 ] - [ INFO ] 3个无花果
2018-01-09 10:15:20 [ Thread-20:2 ] - [ INFO ] 20个无花果
2018-01-09 10:15:20 [ Thread-19:2 ] - [ INFO ] 19个无花果
2018-01-09 10:15:20 [ Thread-18:2 ] - [ INFO ] 18个无花果
2018-01-09 10:15:20 [ Thread-17:2 ] - [ INFO ] 17个无花果
2018-01-09 10:15:20 [ Thread-16:2 ] - [ INFO ] 16个无花果
2018-01-09 10:15:20 [ Thread-13:1 ] - [ INFO ] 13个无花果
2018-01-09 10:15:20 [ Thread-9:1 ] - [ INFO ] 9个无花果
2018-01-09 10:15:20 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 10:15:20 [ Thread-1:1 ] - [ INFO ] 1个无花果
2018-01-09 10:15:20 [ Thread-6:1 ] - [ INFO ] 6个无花果
2018-01-09 10:15:20 [ Thread-7:1 ] - [ INFO ] 7个无花果
2018-01-09 10:15:20 [ 高:1 ] - [ INFO ] 29个无花果
2018-01-09 10:15:20 [ 高:1 ] - [ INFO ] 28个无花果
2018-01-09 10:15:20 [ 高:1 ] - [ INFO ] 27个无花果
2018-01-09 10:15:20 [ 高:0 ] - [ INFO ] 24个无花果
2018-01-09 10:15:20 [ 高:0 ] - [ INFO ] 23个无花果
2018-01-09 10:15:20 [ 低:2 ] - [ INFO ] 10个无花果
2018-01-09 10:15:24 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:15:24 [ Thread-5:0 ] - [ INFO ] 5个无花果
2018-01-09 10:15:24 [ Thread-4:0 ] - [ INFO ] 4个无花果
2018-01-09 10:15:24 [ Thread-1:0 ] - [ INFO ] 1个无花果
2018-01-09 10:15:24 [ Thread-7:0 ] - [ INFO ] 7个无花果
2018-01-09 10:15:24 [ Thread-3:0 ] - [ INFO ] 3个无花果
2018-01-09 10:15:24 [ Thread-0:0 ] - [ INFO ] 0个无花果
2018-01-09 10:15:24 [ Thread-8:0 ] - [ INFO ] 8个无花果
2018-01-09 10:15:24 [ Thread-9:1 ] - [ INFO ] 9个无花果
2018-01-09 10:15:24 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 10:15:24 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 10:15:24 [ 高:1 ] - [ INFO ] 22个无花果
2018-01-09 10:15:24 [ 高:1 ] - [ INFO ] 23个无花果
2018-01-09 10:15:24 [ 高:1 ] - [ INFO ] 21个无花果
2018-01-09 10:15:24 [ Thread-13:1 ] - [ INFO ] 13个无花果
2018-01-09 10:15:24 [ 高:1 ] - [ INFO ] 25个无花果
2018-01-09 10:15:24 [ 高:1 ] - [ INFO ] 24个无花果
2018-01-09 10:15:24 [ 高:2 ] - [ INFO ] 27个无花果
2018-01-09 10:15:24 [ 高:2 ] - [ INFO ] 26个无花果
2018-01-09 10:15:24 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:24 [ 高:2 ] - [ INFO ] 28个无花果
2018-01-09 10:15:24 [ Thread-15:2 ] - [ INFO ] 15个无花果
2018-01-09 10:15:24 [ 高:2 ] - [ INFO ] 29个无花果
2018-01-09 10:15:24 [ Thread-6:2 ] - [ INFO ] 6个无花果
2018-01-09 10:15:24 [ Thread-20:2 ] - [ INFO ] 20个无花果
2018-01-09 10:15:24 [ Thread-18:2 ] - [ INFO ] 18个无花果
2018-01-09 10:15:24 [ 低:3 ] - [ INFO ] 10个无花果
2018-01-09 10:15:24 [ Thread-16:2 ] - [ INFO ] 16个无花果
2018-01-09 10:15:24 [ Thread-19:2 ] - [ INFO ] 19个无花果
2018-01-09 10:15:24 [ Thread-17:2 ] - [ INFO ] 17个无花果
2018-01-09 10:15:29 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:15:29 [ Thread-4:1 ] - [ INFO ] 4个无花果
2018-01-09 10:15:29 [ Thread-5:1 ] - [ INFO ] 5个无花果
2018-01-09 10:15:29 [ Thread-3:1 ] - [ INFO ] 3个无花果
2018-01-09 10:15:29 [ Thread-0:0 ] - [ INFO ] 0个无花果
2018-01-09 10:15:29 [ Thread-1:1 ] - [ INFO ] 1个无花果
2018-01-09 10:15:29 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 10:15:29 [ Thread-8:1 ] - [ INFO ] 8个无花果
2018-01-09 10:15:29 [ Thread-9:1 ] - [ INFO ] 9个无花果
2018-01-09 10:15:29 [ Thread-6:2 ] - [ INFO ] 6个无花果
2018-01-09 10:15:29 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 10:15:29 [ Thread-13:1 ] - [ INFO ] 13个无花果
2018-01-09 10:15:29 [ Thread-15:2 ] - [ INFO ] 15个无花果
2018-01-09 10:15:29 [ Thread-7:2 ] - [ INFO ] 7个无花果
2018-01-09 10:15:29 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:29 [ Thread-17:2 ] - [ INFO ] 17个无花果
2018-01-09 10:15:29 [ Thread-16:2 ] - [ INFO ] 16个无花果
2018-01-09 10:15:29 [ Thread-19:2 ] - [ INFO ] 19个无花果
2018-01-09 10:15:29 [ 高:2 ] - [ INFO ] 21个无花果
2018-01-09 10:15:29 [ Thread-18:3 ] - [ INFO ] 18个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 23个无花果
2018-01-09 10:15:29 [ 高:2 ] - [ INFO ] 22个无花果
2018-01-09 10:15:29 [ Thread-20:3 ] - [ INFO ] 20个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 25个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 24个无花果
2018-01-09 10:15:29 [ 低:3 ] - [ INFO ] 10个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 28个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 27个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 26个无花果
2018-01-09 10:15:29 [ 高:3 ] - [ INFO ] 29个无花果
2018-01-09 10:15:40 [ Thread-3:0 ] - [ INFO ] 3个无花果
2018-01-09 10:15:40 [ Thread-1:0 ] - [ INFO ] 1个无花果
2018-01-09 10:15:40 [ Thread-2:0 ] - [ INFO ] 2个无花果
2018-01-09 10:15:40 [ Thread-4:1 ] - [ INFO ] 4个无花果
2018-01-09 10:15:40 [ Thread-5:1 ] - [ INFO ] 5个无花果
2018-01-09 10:15:40 [ Thread-6:1 ] - [ INFO ] 6个无花果
2018-01-09 10:15:40 [ Thread-8:1 ] - [ INFO ] 8个无花果
2018-01-09 10:15:40 [ Thread-10:1 ] - [ INFO ] 10个无花果
2018-01-09 10:15:40 [ Thread-7:1 ] - [ INFO ] 7个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 23个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 22个无花果
2018-01-09 10:15:40 [ 高:1 ] - [ INFO ] 21个无花果
2018-01-09 10:15:40 [ Thread-9:2 ] - [ INFO ] 9个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 26个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 25个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 24个无花果
2018-01-09 10:15:40 [ Thread-11:2 ] - [ INFO ] 11个无花果
2018-01-09 10:15:40 [ 高:2 ] - [ INFO ] 27个无花果
2018-01-09 10:15:40 [ Thread-12:2 ] - [ INFO ] 12个无花果
2018-01-09 10:15:40 [ Thread-13:2 ] - [ INFO ] 13个无花果
2018-01-09 10:15:40 [ 高:3 ] - [ INFO ] 28个无花果
2018-01-09 10:15:40 [ Thread-14:2 ] - [ INFO ] 14个无花果
2018-01-09 10:15:40 [ Thread-15:3 ] - [ INFO ] 15个无花果
2018-01-09 10:15:40 [ 高:3 ] - [ INFO ] 29个无花果
2018-01-09 10:15:40 [ Thread-17:3 ] - [ INFO ] 17个无花果
2018-01-09 10:15:40 [ Thread-16:3 ] - [ INFO ] 16个无花果
2018-01-09 10:15:40 [ Thread-18:3 ] - [ INFO ] 18个无花果
2018-01-09 10:15:40 [ Thread-19:3 ] - [ INFO ] 19个无花果
